"Nation_fk" "Region5" "Region6" "Ctry_EditorialName" "Question_Year" "GRI_Q_1" "GRI_Q_2" "GRI_Q_3" "GRI_Q_4" "GRI_Q_5" "GRI_Q_6" "GRI_Q_7" "GRI_Q_8" "GRI_Q_9" "GRI_Q_10" "GRI_Q_11" "GRI_Q_11_Christianity" "GRI_Q_11_Islam" "GRI_Q_11_Buddhism" "GRI_Q_11_Hinduism" "GRI_Q_11_Judaism" "GRI_Q_11_Folk_Religions" "GRI_Q_11_Other_Religions" "GRI_Q_12" "GRI_Q_13" "GRI_Q_14" "GRI_Q_15" "GRI_Q_16" "GRI_Q_16_reasons" "GRI_Q_17" "GRI_Q_18" "GRI_Q_19" "GRI_Q_19_extent" "GRI_Q_19_Abuse" "GRI_Q_19_Deaths" "GRI_Q_19_Displacements" "GRI_Q_19_Detentions" "GRI_Q_19_Property_Damage" "GRI_Q_20_1" "GRI_Q_20_2" "GRI_Q_20_3" "GRI_Q_20_3_a" "GRI_Q_20_3_b" "GRI_Q_20_3_c" "GRI_Q_20_4" "GRI_Q_20_5" "SHI_Q_1_Harassment" "SHI_Q_1_PropertyDamage" "SHI_Q_1_Detentions" "SHI_Q_1_Displacements" "SHI_Q_1_Assaults" "SHI_Q_1_Deaths" "SHI_Q_1_Extent" "SHI_Q_1_harass_Christianity" "SHI_Q_1_harass_Islam" "SHI_Q_1_harass_Buddhism" "SHI_Q_1_harass_Hinduism" "SHI_Q_1_harass_Judaism" "SHI_Q_1_harass_Folk_Religions" "SHI_Q_1_harass_Other_Religions" "SHI_Q_2" "SHI_Q_3" "SHI_Q_4" "SHI_Q_4_extent" "SHI_Q_5" "SHI_Q_5_extent" "SHI_Q_6" "SHI_Q_7" "SHI_Q_8" "SHI_Q_9" "SHI_Q_10" "SHI_Q_11" "SHI_Q_12" "SHI_Q_13" "GRX_22_blasphemy" "GRX_22_apostasy" "GRX_22_hate_speech" "GRX_22_criticism_of_religion" "GRX_30"
"1" 1 "Asia-Pacific            " "Asia-Pacific            " "Afghanistan                     " 2007 0.5 0.67 0.67 0.67 0 0.5 1 1 0.5 0 1 1 1 0 0 1 0 1 1 1 1 0 0 0 0 0 1 0.2 0 0 0.2 0.2 0 1 1 1 1 1 0 1 1 1 0 0 1 1 0 0.5 0 1 0 0 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0.5 1 NA NA NA NA NA
"2" 1 "Asia-Pacific            " "Asia-Pacific            " "Afghanistan                     " 2008 0.5 0.67 0.67 0.67 0.5 0.5 1 1 0.5 0 1 1 1 0 1 0 0 1 0 0 1 0 1 0.67 0 0.67 1 0.2 0 0 0 0.2 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0.17 1 1 0 1 0 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 NA NA NA NA NA
"3" 1 "Asia-Pacific            " "Asia-Pacific            " "Afghanistan                     " 2009 0.5 0.67 1 1 0 0.5 1 1 0.5 1 1 1 0 0 1 0 0 1 0 1 1 0 1 0.67 1 0 1 0.2 0 0 0 0.2 0 1 1 1 1 1 1 1 1 1 0 0 1 1 0 0.5 1 1 0 1 0 0 1 0 1 1 1 1 1 0.67 1 1 1 1 1 1 1 NA NA NA NA NA
"4" 1 "Asia-Pacific            " "Asia-Pacific            " "Afghanistan                     " 2010 0.5 0.67 0.67 1 0 0.5 1 1 0.5 1 1 1 1 0 1 0 0 1 1 1 1 1 1 0.67 1 1 1 0.4 0 0 0.2 0.2 0 1 1 1 1 1 1 1 1 1 0 0 0 1 1 0.5 1 1 0 1 0 0 1 0 0 1 1 1 1 1 1 1 1 1 1 0.5 1 1 1 0 1 NA
"5" 1 "Asia-Pacific            " "Asia-Pacific            " "Afghanistan                     " 2011 0.5 0.67 1 1 0 0.5 1 1 0.5 1 1 1 0 0 1 0 0 1 1 1 1 1 1 0.67 1 1 1 0.2 0 0 0 0.2 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0.17 1 1 0 1 0 0 1 0 0 1 1 1 1 1 1 1 1 1 1 0.5 1 1 1 0 1 NA
"6" 1 "Asia-Pacific            " "Asia-Pacific            " "Afghanistan                     " 2012 0.5 0.67 1 1 0 0.5 1 1 0.5 1 1 0 1 0 1 0 0 1 1 1 1 1 1 0.33 1 1 1 0.6 0.2 0 0.4 0.6 0 1 1 1 1 1 1 1 1 1 0 0 0 1 1 0.5 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 NA
"7" 1 "Asia-Pacific            " "Asia-Pacific            " "Afghanistan                     " 2013 0.5 0.67 1 1 0 0.5 1 1 0.5 1 1 1 1 0 1 0 0 1 1 1 1 1 1 0.67 1 1 1 0.2 0 0 0 0.2 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0.17 1 1 0 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0.5 0.5 1 1 0 1 0
"8" 2 "Europe                  " "Europe                  " "Albania                         " 2007 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0.67 0 0 0 0 0.33 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0.25 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA
"9" 2 "Europe                  " "Europe                  " "Albania                         " 2008 0 0 0.33 0.33 0 0 0 0 0.5 1 0.5 0 1 0 0 0 0 0 0 0 0.67 0 0 0 0 0.33 0 0 0 0 0 0 0 0 0.5 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0.25 0 0 0.67 0 0 0 0 0 0 0 NA NA NA NA NA
"10" 2 "Europe                  " "Europe                  " "Albania                         " 2009 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.33 0 0 0 0 0 0 0 0 0.25 0.5 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA
